task,actor,actor_label,task_label,n_good,n_bad,n_tie,n_excl_tie,win_rate,ci_lo,ci_hi,ci_positive
essay,deepseek-v3.2-or,DeepSeek V3.2,Essay writing,77,58,25,135,0.5704,0.4861,0.6508,False
essay,gpt-5.4-mini-or,GPT-5.4 mini,Essay writing,76,41,43,117,0.6496,0.5596,0.73,True
essay,glm-5.1-or,GLM-5.1,Essay writing,91,54,15,145,0.6276,0.5466,0.702,True
essay,kimi-k2.5-or,Kimi K2.5,Essay writing,84,60,16,144,0.5833,0.5017,0.6607,True
essay,mimo-v2-pro-or,MiMo V2 Pro,Essay writing,80,58,22,138,0.5797,0.4963,0.6588,False
essay,qwen3.5-9b-or,Qwen3.5 9B,Essay writing,85,64,11,149,0.5705,0.4902,0.6472,False
essay,qwen3.6-plus-or,Qwen3.6 Plus,Essay writing,115,28,17,143,0.8042,0.7316,0.8609,True
grant_proposal_abstract,deepseek-v3.2-or,DeepSeek V3.2,Grant abstract,105,45,0,150,0.7,0.6224,0.7676,True
grant_proposal_abstract,gpt-5.4-mini-or,GPT-5.4 mini,Grant abstract,94,56,0,150,0.6267,0.547,0.7,True
grant_proposal_abstract,glm-5.1-or,GLM-5.1,Grant abstract,83,67,0,150,0.5533,0.4734,0.6306,False
grant_proposal_abstract,kimi-k2.5-or,Kimi K2.5,Grant abstract,95,49,0,144,0.6597,0.5791,0.7321,True
grant_proposal_abstract,mimo-v2-pro-or,MiMo V2 Pro,Grant abstract,84,66,0,150,0.56,0.48,0.637,False
grant_proposal_abstract,qwen3.5-9b-or,Qwen3.5 9B,Grant abstract,94,55,1,149,0.6309,0.551,0.7042,True
grant_proposal_abstract,qwen3.6-plus-or,Qwen3.6 Plus,Grant abstract,117,33,0,150,0.78,0.7072,0.8388,True
incident_postmortem,deepseek-v3.2-or,DeepSeek V3.2,Incident postmortem,83,66,1,149,0.557,0.4768,0.6344,False
incident_postmortem,gpt-5.4-mini-or,GPT-5.4 mini,Incident postmortem,50,100,0,150,0.3333,0.2629,0.4121,False
incident_postmortem,glm-5.1-or,GLM-5.1,Incident postmortem,65,74,2,139,0.4676,0.3867,0.5503,False
incident_postmortem,kimi-k2.5-or,Kimi K2.5,Incident postmortem,85,60,2,145,0.5862,0.5048,0.6631,True
incident_postmortem,mimo-v2-pro-or,MiMo V2 Pro,Incident postmortem,83,67,0,150,0.5533,0.4734,0.6306,False
incident_postmortem,qwen3.5-9b-or,Qwen3.5 9B,Incident postmortem,95,55,0,150,0.6333,0.5538,0.7062,True
incident_postmortem,qwen3.6-plus-or,Qwen3.6 Plus,Incident postmortem,94,56,0,150,0.6267,0.547,0.7,True
translation,deepseek-v3.2-or,DeepSeek V3.2,Translation,74,70,6,144,0.5139,0.433,0.5941,False
translation,gpt-5.4-mini-or,GPT-5.4 mini,Translation,69,63,18,132,0.5227,0.4381,0.6061,False
translation,glm-5.1-or,GLM-5.1,Translation,67,60,23,127,0.5276,0.4412,0.6123,False
translation,kimi-k2.5-or,Kimi K2.5,Translation,61,71,14,132,0.4621,0.3793,0.547,False
translation,mimo-v2-pro-or,MiMo V2 Pro,Translation,76,63,11,139,0.5468,0.4639,0.6272,False
translation,qwen3.5-9b-or,Qwen3.5 9B,Translation,72,69,9,141,0.5106,0.4289,0.5918,False
translation,qwen3.6-plus-or,Qwen3.6 Plus,Translation,77,59,14,136,0.5662,0.4822,0.6465,False
